"flight_id,airline,from_city,to_city,duration,status"
"F101,Indigo,Hyderabad,Delhi,140,On Time"
"F102,Air India,Mumbai,Chennai,120,Delayed"
"F103,Vistara,Bangalore,Hyderabad,90,On Time"
"F104,Indigo,Delhi,Mumbai,130,Cancelled"
"F105,Air India,Chennai,Bangalore,80,On Time"
"F106,Akasa,Pune,Delhi,150,Delayed"
"F107,Vistara,Hyderabad,Kolkata,160,On Time"
"F108,Indigo,Mumbai,Hyderabad,110,On Time"
"F109,Akasa,Delhi,Chennai,145,Delayed"
"F110,Air India,Bangalore,Mumbai,95,On Time"
"F111,Indigo,Hyderabad,Goa,75,On Time"
"F112,Vistara,Goa,Delhi,150,Cancelled"
"F113,Akasa,Chennai,Pune,100,On Time"
"F114,Air India,Kolkata,Bangalore,170,Delayed"
"F115,Indigo,Delhi,Hyderabad,135,On Time"
